Complexity,Loss,Equation
1,8.205357,"4.4902344"
3,8.201208,"4.4912796 - x16"
4,6.943661,"7.3526077 - sqrt(x52)"
5,6.9029174,"6.5454884 - (x52 * 0.2175444)"
6,6.807334,"sqrt((x29 + x27) + x35)"
7,6.6864386,"sqrt(abs(x29 - x33) + x35)"
8,6.32416,"log((x10 * (x27 + x35)) + 6.661833)"
9,6.009852,"sqrt((abs(x33 - x29) * 1.9370316) + x35)"
10,5.5261436,"log((((x30 * x28) + x35) * x10) + 8.864263)"
12,5.387126,"log((((x26 * 0.1388436) + x30) * (x28 * x10)) + 15.792666)"
13,5.081761,"log(abs((x36 - x28) * ((x21 * x27) - x11)) + 9.177218)"
14,4.942953,"log(((x10 * ((x26 * 0.07804288) + x30)) * (x36 + x28)) + 8.749032)"
15,4.546912,"log((x35 + abs((x11 - (x21 * x27)) * (x28 - x36))) + 1.4625672)"
16,4.5147715,"log(abs(x35 + ((x36 - x28) * abs((x21 * x27) - x11))) + 1.604808)"
17,4.375365,"log((x35 + 1.50609) + abs((x36 - x28) * (((x21 * x27) - x4) - x46)))"
18,4.354974,"log(abs((((x36 - x28) * abs((x27 * x21) - x11)) + x35) + x35) + 1.3899442)"
19,4.240183,"log((((x30 * x10) * x28) + ((x21 + x26) * abs(x36 - x28))) + (x35 + 1.3160926))"
20,4.198055,"abs(log((x36 + abs((((x28 - x36) * x26) + 0.09621411) * (x21 - 1.345427))) + (x30 * x28)))"
21,3.8358974,"log(x36 + ((x10 * (x30 * x28)) + abs(((x36 - x28) * (x26 * (1.4872212 - x21))) + 1.5911536)))"
22,3.782987,"abs(log((((x28 * x10) * x30) + abs((1.3625447 - x21) * (((x36 - x28) * x26) + -0.0937077))) + x36))"
23,3.6731808,"log(x36 + ((((x30 * x10) * x28) + abs((((x33 - x26) * x21) + x26) * (x36 - x28))) + 1.7027282))"
25,3.463121,"log(x36 + (abs(((x36 - x28) * (x26 + ((x33 - x26) * x21))) - -1.275535) + (x10 * (x6 + (x30 * x28)))))"
26,3.4611115,"log((x36 + abs(((x36 - x28) * (((x33 - x26) * x21) + x26)) + exp(x47))) + (((x30 * x28) + x6) * x10))"
27,3.4039748,"log(((x36 + abs((x28 - x36) * (((x33 - x26) * x21) + (x38 + x26)))) + 1.1736702) + (((x30 * x28) + x6) * x10))"
28,3.3996859,"log(exp(x47) + ((abs((x28 - x36) * (x26 + (x38 + (x21 * (x33 - x26))))) + x36) + (((x30 * x28) + x6) * x10)))"
29,3.3799298,"log((x36 + (((x28 * x30) + x6) * x10)) + abs(((x26 + ((((x33 * 1.2482829) - x26) * x21) + x38)) * (x36 - x28)) + 1.1729735))"
30,3.3734722,"log(abs(((abs((x28 - x36) * ((((x33 - x26) * x21) + x26) + x38)) + x36) + (x10 * (x6 + (x28 * x30)))) - x63) + 1.1893473)"
31,3.317433,"(x33 * -0.10417585) + log(x36 + (abs((((((x33 - x26) * x21) + x26) * (x36 - x28)) + 1.3390576) * -1.7342592) + (((x28 * x30) + x6) * x10)))"
32,3.3100753,"abs((x33 * -0.108258136) + log((x36 + (abs(((x28 - x36) * ((x21 * (x33 - x26)) + x26)) - 1.2796578) * 1.7550077)) + ((x6 + (x28 * x30)) * x10)))"
33,3.256399,"(x33 * -0.10806728) + log(x36 + (((x6 + (x30 * x28)) * x10) + (abs((((x26 + ((x33 - x26) * x21)) + x38) * (x28 - x36)) - 1.3072829) * 1.6634561)))"
34,3.2477043,"abs((x33 * -0.112199366) + log((x36 + (x10 * (x6 + (x30 * x28)))) + abs((((x28 - x36) * (x26 + (((x33 - x26) * x21) + x38))) - 1.2522162) * 1.6826336)))"
35,3.2107315,"(x33 * -0.12794426) + log(x36 + ((x10 * (x6 + (x28 * x30))) + abs((1.4831446 - (((x26 + (x33 + x38)) + (x21 * (x33 - x26))) * (x28 - x36))) * 1.6333722)))"
36,3.2001379,"abs((x33 * -0.13208196) + log(x36 + ((x10 * (x6 + (x28 * x30))) + abs((1.4199471 - ((((x38 + x26) + x33) + ((x33 - x26) * x21)) * (x28 - x36))) * 1.6521649))))"
37,3.1887274,"(x33 * -0.143254) + log((x36 + ((x6 + (x30 * x28)) * x10)) + abs((1.6307062 - ((x28 - x36) * (((x33 - x26) * x21) + (((x26 + x38) + x33) + x33)))) * 1.6072673))"
38,3.1766253,"abs((x33 * -0.1475338) + log((x36 + ((x6 + (x30 * x28)) * x10)) + abs((1.5628934 - ((x28 - x36) * (((x33 + (x21 * (x33 - x26))) + (x26 + x33)) + x38))) * 1.6272523)))"
39,3.1687353,"abs((x33 * -0.14874609) + log(abs((((x28 * x30) + x6) * x10) + ((abs(((x38 + x33) + (((x33 - x26) * x21) + (x26 + x33))) * (x28 - x36)) - 1.6325303) * 1.6325303)) + x36))"
40,3.1601849,"abs((x33 * -0.16759153) + log((abs((((x28 - x36) * ((x26 + (x38 + (x33 + x33))) + (x21 * ((x33 / 0.6342457) - x26)))) - 1.6932718) * 1.6858947) + (((x28 * x30) + x6) * x10)) + x36))"
