Complexity,Loss,Equation
1,0.094666675,"x3"
3,0.05466666,"x3 - 0.20000091"
5,0.05094529,"(x1 * -0.06811926) + x3"
7,0.045262136,"((x3 * 3.073869) + -0.8327462) / x1"
9,0.035860036,"x3 - ((-0.016756328 / (x3 + -1.7615312)) + 0.22531441)"
11,0.03236605,"(x3 - (x1 * 0.07632981)) + (0.016984863 / (x3 + -1.7611551))"
13,0.026287366,"((x3 - 0.23130259) / (x1 * 0.34629697)) + (0.019588014 / (x3 + -1.7566013))"
15,0.025393592,"(((x1 * -0.23531482) + 1.668814) * x3) - ((-0.019163044 / (x3 + -1.7567557)) + 0.19798493)"
19,0.024394376,"(x3 * (((x2 * 0.026481457) + 1.64932) + (x1 * -0.2780271))) - ((-0.017724732 / (x3 + -1.7578841)) + 0.17542328)"
21,0.023414668,"((((x1 * -0.3635822) + 1.7206632) + ((x2 * x1) * 0.018431412)) * x3) - ((-0.015066664 / (x3 + -1.7639136)) + 0.12279597)"
23,0.023414088,"(-0.015048536 / (-0.2591257 - (x3 + -2.0232906))) + (((((x1 * -0.36356735) + 1.7206715) + (x1 * (x2 * 0.018405199))) * x3) - 0.122784585)"
25,0.023271473,"(x3 * ((x1 * (0.0261057 * x2)) + (1.6895243 + (x1 * -0.41544545)))) - ((-0.016543586 / (x3 + -1.7459155)) + (-0.011534235 / (x3 + -1.6652286)))"
27,0.020952579,"(x3 * ((((x2 * x1) * 0.012553478) + ((x1 * -0.32372487) + 1.698049)) - ((-0.010156264 / (x3 + -1.7440238)) + (-0.0073251347 / (x3 + -1.6661178))))) + -0.1387917"
