Complexity,Loss,Equation
1,8.205357,"4.4902344"
3,8.201208,"4.4912796 - x16"
5,6.9029174,"(x52 * -0.21754694) + 6.5455227"
7,6.4769144,"((x27 - x52) * 0.16443148) - -4.659778"
9,6.35013,"((x52 * -0.21477953) + (x27 * 0.12502357)) - -5.416608"
11,5.448258,"(x36 + (x27 - ((x52 - x18) - x29))) * 0.15216835"
13,5.30241,"(((x35 + x27) - ((x52 - x18) - x29)) * 0.14015718) + 0.8453518"
15,5.0767536,"((x27 + (x35 - ((x52 - x18) + (-4.7200813 - x29)))) + x14) * 0.13755132"
17,5.065628,"((x35 + ((x27 - ((x52 + (-4.6814995 - x29)) - x18)) + x14)) * 0.13780096) - x31"
19,4.8429656,"((x27 + (x29 + (x18 - ((x52 * 1.8401966) + ((x35 / -0.9684855) - x14))))) * 0.12040881) - -2.0485826"
21,4.8245587,"(((x29 + (x27 - (((x52 * 2.1978865) - x14) + ((x35 * -1.4956949) - x37)))) + x18) * 0.096821375) - -1.6043644"
23,4.710154,"(((((x18 + x44) + x29) + (x33 * -2.0164793)) - (((x52 * 2.399503) + (x35 * -1.279282)) - x37)) * 0.10721262) - -2.534407"
25,4.6024837,"((x18 + ((x27 + (x33 * -1.3892971)) + (x29 - (((x35 * -1.3839595) - x37) + ((x52 * 1.9883128) - x14))))) * 0.09934692) - -1.7544038"
27,4.585029,"(((x27 + ((x18 + x29) + (x33 * -1.4258765))) - ((x52 * 1.9946548) + (((x35 * -1.3884275) - x37) - x14))) * 0.09939835) + (x40 - -1.7572141)"
29,4.5823545,"(((((x18 + (x27 + x29)) + (x33 * -1.4126438)) - (((x52 * 1.9835638) + ((x35 * -1.3808186) - x37)) - x14)) * 0.099848606) + (x40 - -1.7326952)) + x8"
