Complexity,Loss,Equation
1,8.205357,"4.4902344"
3,8.201208,"4.4912796 - x16"
5,6.9029174,"6.545497 - (x52 * 0.21754491)"
7,6.7839127,"6.5696936 - ((x52 + x63) * 0.215804)"
9,6.1616735,"((x28 + -6.752446) / (x36 + 1.7733561)) + 4.477933"
11,5.220503,"((x21 - x20) * ((x28 * 0.036061674) + -0.3063567)) + 4.9833894"
13,5.0158234,"((x28 + -7.1538696) / (x36 + 1.4861448)) + (5.8642597 - (x20 * 0.18020308))"
15,4.649507,"((((x21 + x30) * 0.028342083) - (x20 * 0.02919149)) * (x28 + -7.6396585)) + 4.9282174"
17,4.1156535,"((((x21 * 0.38054082) / (x36 + 6.1626306)) - (x20 * 0.023030581)) * (x28 + -6.3367405)) + 5.00374"
19,3.8865688,"((((x21 + x30) * (0.3652456 / (x36 + 8.486192))) - (x20 * 0.02312154)) * (x28 + -6.1722784)) + 5.1070514"
21,3.857485,"5.1510005 + ((-5.974954 + x28) * (((((x30 - x63) + x21) * 0.312712) / (x36 + 7.110059)) - (x20 * 0.021478893)))"
23,3.8385587,"(((((((x21 + x30) - x63) + 1.4386774) * 0.31574696) / (x36 + 7.744205)) - (x20 * 0.022784417)) * (x28 + -6.0226545)) + 5.0845675"
25,3.8355699,"(((((((x30 - x15) + (x21 + 1.2969706)) * 0.3391576) / (x36 + 8.193042)) - (x20 * 0.023705231)) * (x28 + -6.044136)) + 5.094379) + x39"
27,3.8329425,"(((((((x21 + (x30 - x63)) + 1.2027727) * 0.32469282) / (7.5782247 + x36)) - (x20 * 0.023246747)) * ((x28 + -5.8274965) / 1.0313703)) + 5.0887084) - x31"
