Complexity,Loss,Equation
1,0.0955,"x3"
3,0.05347497,"x3 - 0.20499626"
5,0.050309304,"x3 + (-0.06996361 * x1)"
7,0.047171675,"x2 * ((x3 / x0) + 0.028691133)"
9,0.04031968,"(x2 + -1.448555) * ((x3 + 0.99127555) / x0)"
11,0.03637199,"((x2 * 2.2651618) - x1) / ((x0 / x3) + 1.8220768)"
13,0.035628404,"((x2 * 1.8352671) + (1.1421506 - x1)) / ((x0 / x3) + 1.1742933)"
15,0.034185693,"((x2 * 2.1313927) - x1) / (x3 + ((x0 * (1.4369377 / x3)) + -2.044432))"
17,0.033811856,"(((x2 * 2.206061) - x1) / (((x0 + 1.3275363) / x3) + (x3 + -2.4212294))) * 0.72526634"
19,0.033183865,"((x2 * 1.5498588) + (0.8121896 - x1)) / ((x0 / x3) + ((x3 - 1.8621267) / (x1 / x3)))"
21,0.03222297,"((1.5623678 * x2) + (0.775422 - x1)) / (((x3 - 1.8707982) / (x1 / (x2 - 3.286848))) + (x0 / x3))"
23,0.03158504,"(((x2 * 1.545689) - x1) + 0.85071325) / ((x0 / x3) + ((x3 - 1.910579) / (x0 / (x3 * (x2 - x1)))))"
25,0.030968726,"((0.9997255 - x1) + (x2 * 1.5497472)) / ((x0 / x3) + ((x3 - 1.7537093) / (x1 / ((x2 / (x1 / x3)) + -2.1605988))))"
27,0.0301036,"((x2 * 1.502843) + (1.210742 - x1)) / (((x3 - (x0 - x2)) / (((x1 - x3) * 1.8314986) / (x3 - 1.8642374))) + (x0 / x3))"
29,0.029577084,"((x2 * 1.4685843) + (1.3957185 - x1)) / (((x3 - ((x0 - x2) - -0.35672414)) / (((x1 - x3) * 1.9721541) / (x3 - 1.7660363))) + (x0 / x3))"
