Complexity,Loss,Equation
1,337.02493,"x1"
3,113.848015,"x1 * 16.529205"
5,20.290205,"(x0 + x1) * 13.493898"
7,1.0706083,"(x1 * 16.759972) - (x0 * -10.528945)"
9,1.0519516,"(x1 * 16.761791) - ((x0 * -10.521208) - 0.13681515)"
11,1.0485473,"(x1 * 16.755548) - (x0 * (-10.496912 - (x0 * 0.086651586)))"
13,1.0351052,"(x1 - (x0 * -0.63082093)) * ((0.037323195 / (x1 + -1.133196)) + 16.746733)"
15,1.0196283,"(((0.038783886 / (x1 + -1.1273724)) + 16.754814) * (x1 - (x0 * -0.6301494))) + 0.12760073"
17,1.019157,"(((x1 - (x0 * -0.69000083)) * ((0.03814939 / (x1 + -1.1298227)) + 16.751522)) + 0.12646115) - x0"
21,1.0191147,"((((x1 - (x0 * -0.69001925)) * ((0.03776118 / (x1 + -1.1315778)) + 16.751741)) + x1) - (x1 + -0.12522575)) - x0"
23,1.0002186,"(((0.13350686 / (x0 + 2.354344)) + (((0.03823366 / (x1 + -1.1321564)) + 17.746414) * (x1 - (x0 * -0.65410095)))) - x1) - x0"
25,0.99927336,"(0.11750758 / (x0 + 2.3558335)) + ((((((0.039146733 / (x1 + -1.130662)) + 17.74227) * (x1 - (x0 * -0.65168285))) - x1) - x0) - -0.04362634)"
27,0.9978894,"(((17.745584 + (0.036218345 / (-1.1342574 + x1))) * (x1 - (x0 * -0.7106078))) + (((0.12815377 / (2.354196 + x0)) - x1) - x0)) - (x0 + -0.024374288)"
29,0.9782145,"((((0.11750758 / (x0 + 2.3558335)) + (((0.039146733 / (x1 + -1.130662)) + 17.74227) * (x1 - (x0 * -0.65168285)))) - x1) - x0) - (0.09548786 / (x0 - 2.3113105))"
