Complexity,Loss,Equation
1,337.02493,"x1"
3,113.848015,"x1 * 16.529186"
5,20.290205,"(x1 + x0) * 13.493527"
7,1.0706083,"(x0 * 10.528945) + (x1 * 16.759972)"
9,1.0519516,"((x0 * 10.521188) - (x1 * -16.761856)) + 0.13678598"
13,1.0464131,"((x1 * ((0.008302575 / x0) + 16.757656)) - (x0 / -0.095051736)) - -0.13209444"
15,1.0331781,"(x1 * ((-0.0017988582 / (x0 + x1)) + 16.782661)) - ((x0 / -0.09531074) - 0.14149572)"
17,1.018139,"(x1 * 16.757656) - ((x0 / -0.095051736) - (0.27377808 / (((x0 * x0) * -0.515481) + 2.8346848)))"
19,1.014745,"(x1 * 16.751543) - ((x0 / -0.095203236) - (0.25091204 / (((x0 * (x0 - -0.042655315)) * -0.5190203) + 2.8287432)))"
21,1.0120977,"(x1 * ((0.008302575 / x0) + 16.757656)) - ((x0 / -0.095051736) - (0.2500383 / (((x0 * x0) * -0.515481) + 2.8346848)))"
23,1.0086536,"(((0.008368177 / x0) + 16.751543) * x1) - ((x0 / -0.095203236) - (0.25091204 / ((x0 * ((x0 - -0.042655315) * -0.5190203)) + 2.8287432)))"
25,1.0016483,"(((0.008368177 / (x0 - -0.042655315)) + 16.751543) * x1) - ((x0 / -0.095203236) - (0.25091204 / (((x0 * (x0 - -0.042655315)) * -0.5190203) + 2.8287432)))"
27,0.9895962,"((0.008368177 / (-1.0869696 + x1)) - -0.042655315) + ((16.751543 * x1) - ((x0 / -0.095203236) - (0.25091204 / (((x0 * (x0 - -0.042655315)) * -0.5190203) + 2.8287432))))"
